context	transcript	name	repeats	chromStart	chromEnd	synonyms_0	buffer_0	score	strand	synonyms_50	buffer_50	synonyms_100	buffer_100	synonyms_200	buffer_200	synonyms_400	buffer_400
INSIDE	HG941718.1	IS1A	2	3290161	3290826	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP			['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP
INSIDE	HG941718.1	IS1203	1	3293265	3294392	['IS1203E', 'IS3411', 'IS3411L', 'IS3411R', 'IS629']	TP			['IS1203E', 'IS3411', 'IS3411L', 'IS3411R', 'IS629']	TP	['IS1203E', 'IS3411', 'IS3411L', 'IS3411R', 'IS629']	TP	['IS1203E', 'IS3411', 'IS3411L', 'IS3411R', 'IS629']	TP	['IS1203E', 'IS3411', 'IS3411L', 'IS3411R', 'IS629']	TP
INSIDE	HG941718.1	ISKox3	1	3295131	3295878		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS30	1	3313322	3315260	['IS121', 'IS30D', 'IS30H', 'Tn2700', 'Tn2702']	TP			['IS121', 'IS30D', 'IS30H', 'Tn2700', 'Tn2702']	TP	['IS121', 'IS30D', 'IS30H', 'Tn2700', 'Tn2702']	TP	['IS121', 'IS30D', 'IS30H', 'Tn2700', 'Tn2702']	TP	['IS121', 'IS30D', 'IS30H', 'Tn2700', 'Tn2702']	TP
INSIDE	HG941718.1	ISEch14	1	3316142	3317675		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS2	1	3323700	3324929	['IS4521L', 'IS4521R']	TP			['IS4521L', 'IS4521R']	TP	['IS4521L', 'IS4521R']	TP	['IS4521L', 'IS4521R']	TP	['IS4521L', 'IS4521R']	TP
INSIDE	HG941718.1	IS682	1	3334642	3335415		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc22	1	3336689	3338081		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc10	1	3360619	3362871		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc52	1	3558437	3559585		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS609	2	3820356	3821565		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS1F	1	4140093	4140791	['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP			['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP	['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP	['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP	['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP
INSIDE	HG941718.1	IS629	1	4159080	4159592	['IS1203', 'IS1203E', 'IS3411', 'IS3411L', 'IS3411R']	TP			['IS1203', 'IS1203E', 'IS3411', 'IS3411L', 'IS3411R']	TP	['IS1203', 'IS1203E', 'IS3411', 'IS3411L', 'IS3411R']	TP	['IS1203', 'IS1203E', 'IS3411', 'IS3411L', 'IS3411R']	TP	['IS1203', 'IS1203E', 'IS3411', 'IS3411L', 'IS3411R']	TP
INSIDE	HG941718.1	ISEc49	2	4162406	4163438		FP				FP		FP		FP		FP
INSIDE	HG941718.1	ISCro1	1	4171181	4173797		TP				TP		TP		TP		TP
INSIDE	HG941718.1	IS21	1	4175167	4177137	['IS640', 'IS8']	TP			['IS640', 'IS8']	TP	['IS640', 'IS8']	TP	['IS640', 'IS8']	TP	['IS640', 'IS8']	TP
INSIDE	HG941718.1	ISEc23	3	4925173	4927590		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEcp1	1	4937618	4940067	['ISEc9', 'ISEcp1B']	TP			['ISEc9', 'ISEcp1B']	TP	['ISEc9', 'ISEcp1B']	TP	['ISEc9', 'ISEcp1B']	TP	['ISEc9', 'ISEcp1B']	TP
INSIDE	HG941718.1	ISSd1	1	4942429	4944198	['IS600', 'ISS1']	TP			['IS600', 'ISS1']	TP	['IS600', 'ISS1']	TP	['IS600', 'ISS1']	TP	['IS600', 'ISS1']	TP
INSIDE	HG941718.1	IS1F	2	4953170	4953868	['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP			['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP	['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP	['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP	['IS1T', 'IS1X1', 'IS1X2', 'IS1X4']	TP
INSIDE	HG941718.1	ISEc8	1	4956037	4958197		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc12	4	4972042	4974324		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc52	2	5007374	5008522		TP				TP		TP		TP		TP
INSIDE	HG941718.1	ISEc53	1	5014841	5016599		TP				TP		TP		TP		TP
INSIDE	HG941719.1	IS26	1	36339	38562	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP			['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP
INSIDE	HG941719.1	IS15	1	43486	44203	['I', 'IS140', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP			['I', 'IS140', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP
INSIDE	HG941719.1	IS1R	2	66956	67654	['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP			['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP	['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP	['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP	['IS1A', 'IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1S', 'IS1SD']	TP
INSIDE	HG941719.1	IS26	2	75367	76084	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP			['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP
INSIDE	HG941719.1	IS26	3	86194	86911	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP			['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP
INSIDE	HG941719.1	IS6100	1	93963	94758	['IS6100L', 'IS6100R', 'Tn610']	TP			['IS6100L', 'IS6100R', 'Tn610']	TP	['IS6100L', 'IS6100R', 'Tn610']	TP	['IS6100L', 'IS6100R', 'Tn610']	TP	['IS6100L', 'IS6100R', 'Tn610']	TP
INSIDE	HG941719.1	IS26	4	98096	98813	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP			['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP
INSIDE	HG941719.1	IS26	5	102500	103217	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP			['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP
INSIDE	HG941719.1	IS26	6	105507	106224	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP			['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	TP
INSIDE	HG941719.1	IS26	7	113738	114455	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FP			['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FP	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FP
INSIDE	HG941719.1	IS1A	3	120422	121120	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP			['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	TP
INSIDE	HG941719.1	ISEc23	4	131288	133705		TP				TP		TP		TP		TP
	HG941718.1	MITEEc1	1	814902	815025		FN	0.0	-		FN		FN		FN		FN
	HG941718.1	ISCfr4		1365600	1366443		FN	0.0	+		FN		FN		FN		FN
	HG941718.1	IS4		1417476	1418621		FN	0.0	-		FN		FN		FN		FN
	HG941718.1	MITEEc1	2	3237314	3237436		FN	0.0	-		FN		FN		FN		FN
	HG941718.1	ISSd1		3314362	3315303	['IS600', 'ISS1']	FN	0.0	+	['IS600', 'ISS1']	FN	['IS600', 'ISS1']	FN	['IS600', 'ISS1']	FN	['IS600', 'ISS1']	FN
	HG941718.1	ISSen10		4156066	4156581		FN	0.0	-		FN		FN		FN		FN
	HG941718.1	IS5		4938940	4940135	['IS5-Delta', 'IS5D']	FN	0.0	-	['IS5-Delta', 'IS5D']	FN	['IS5-Delta', 'IS5D']	FN	['IS5-Delta', 'IS5D']	FN	['IS5-Delta', 'IS5D']	FN
	HG941718.1	ISEc52	3	4943650	4944441		FN	0.0	+		FN		FN		FN		FN
	HG941718.1	ISSen1		4976678	4977300		FN	0.0	+		FN		FN		FN		FN
