context	transcript	name	repeats	chromStart	chromEnd	buffer_0	fp_reason_0	score	strand	synonyms_0	buffer_50	fp_reason_50	synonyms_50	buffer_100	fp_reason_100	synonyms_100	buffer_200	fp_reason_200	synonyms_200	buffer_400	fp_reason_400	synonyms_400
INSIDE	HG941719.1	IS26	6	105507	106224	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	IS26	7	113738	114455	FP					FP			FP			FP			FP		
INSIDE	HG941719.1	IS1A	3	120422	121120	TP					TP			TP			TP			TP		
INSIDE	HG941719.1	ISEc23	4	131288	133705	TP					TP			TP			TP			TP		
	HG941718.1	MITEEc1	1	814902	815025	FN		0.0	-		FN			FN			FN			FN		
	HG941718.1	ISCfr4		1365600	1366443	FN		0.0	+		FN			FN			FN			FN		
	HG941718.1	IS4		1417476	1418621	FN		0.0	-		FN			FN			FN			FN		
	HG941718.1	IS1A	1	2384714	2385482	FN		0.0	-	['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	FN		['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	FN		['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	FN		['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']	FN		['IS1B', 'IS1C', 'IS1D', 'IS1E', 'IS1G', 'IS1K', 'IS1R', 'IS1S', 'IS1SD']
	HG941718.1	MITEEc1	2	3237314	3237436	FN		0.0	-		FN			FN			FN			FN		
	HG941718.1	ISSd1		3314362	3315303	FN		0.0	+	['IS600', 'ISS1']	FN		['IS600', 'ISS1']	FN		['IS600', 'ISS1']	FN		['IS600', 'ISS1']	FN		['IS600', 'ISS1']
	HG941718.1	ISSen10		4156066	4156581	FN		0.0	-		FN			FN			FN			FN		
	HG941718.1	ISEc9		4937432	4938940	FN		0.0	+	['ISEcp1', 'ISEcp1B']	FN		['ISEcp1', 'ISEcp1B']	FN		['ISEcp1', 'ISEcp1B']	FN		['ISEcp1', 'ISEcp1B']	FN		['ISEcp1', 'ISEcp1B']
	HG941718.1	IS5		4938940	4940135	FN		0.0	-	['IS5-Delta', 'IS5D']	FN		['IS5-Delta', 'IS5D']	FN		['IS5-Delta', 'IS5D']	FN		['IS5-Delta', 'IS5D']	FN		['IS5-Delta', 'IS5D']
	HG941718.1	IS600		4942385	4943650	FN		0.0	-	['ISS1', 'ISSd1']	FN		['ISS1', 'ISSd1']	FN		['ISS1', 'ISSd1']	FN		['ISS1', 'ISSd1']	FN		['ISS1', 'ISSd1']
	HG941718.1	ISEc52	3	4943650	4944441	FN		0.0	+		FN			FN			FN			FN		
	HG941718.1	ISSen1		4976678	4977300	FN		0.0	+		FN			FN			FN			FN		
	HG941719.1	IS26	2	37108	38748	FN		0.0	-	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FN		['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FN		['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FN		['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FN		['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']
	HG941719.1	IS26	3	43434	44254	FN		0.0	-	['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FN		['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FN		['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FN		['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']	FN		['I', 'IS140', 'IS15', 'IS15-DeltaI', 'IS15-DeltaII', 'IS1522', 'IS15DI', 'IS15DII', 'IS15DIII', 'IS15DIV', 'IS15L', 'IS15R', 'IS160', 'IS26L', 'IS26R', 'IS46', 'IS6', 'IS66', 'IS66-1', 'IS66t', 'IS66v1', 'IS66v2']
