target	gene_id	transcript	chromStart	chromEnd	Buffer_10	Buffer_15	Buffer_25	Buffer_50	name	score	strand
ISEc8_IS66_unknown_stitched	1240608_0_192	1240608	0	192	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1235120_0_363	1235120	0	363	FP	FP	FP	FP			
ISEc8_IS66_unknown_stitched	1125059_2_221	1125059	2	221	FP	FP	FP	FP			
IS1A_IS1_unknown_stitched	1245138_99_444	1245138	99	444	FP	FP	FP	FP			
IS1A_IS1_unknown_stitched	1208153_0_267	1208153	0	267	FP	FP	FP	FP			
IS1A_IS1_unknown_stitched	1236016_1227_1353	1236016	1227	1353	FP	FP	FP	FP			
IS1A_IS1_unknown_stitched	1236016_562_1078	1236016	562	1078	FP	FP	FP	FP			
IS1A_IS1_unknown_stitched	1236016_211_325	1236016	211	325	FP	FP	FP	FP			
IS21_IS21_unknown_stitched	1244402_13521_13653	1244402	13521	13653	FP	FP	FP	FP			
IS21_IS21_unknown_stitched	1244402_11528_11771	1244402	11528	11771	FP	FP	FP	FP			
IS21_IS21_unknown_stitched	1244402_13709_13799	1244402	13709	13799	FP	FP	FP	FP			
IS21_IS21_unknown_stitched	1244402_13848_14064	1244402	13848	14064	FP	FP	FP	FP			
IS21_IS21_unknown_stitched	1244402_14089_14281	1244402	14089	14281	FP	FP	FP	FP			
IS21_IS21_unknown_stitched	1244402_11008_11101	1244402	11008	11101	FP	FP	FP	FP			
IS21_IS21_unknown_stitched	1244402_10300_10456	1244402	10300	10456	FP	FP	FP	FP			
IS21_IS21_unknown_stitched	1244402_9127_10273	1244402	9127	10273	FP	FP	FP	FP			
IS1G_IS1_unknown	1171599_2_173	1171599	2	173	FP	FP	FP	FP			
IS1G_IS1_unknown	1245046_512122_512206	1245046	512122	512206	FP	FP	FP	FP			
IS1G_IS1_unknown	1245046_511491_512118	1245046	511491	512118	FP	FP	FP	FP			
IS1G_IS1_unknown	1245046_508995_511476	1245046	508995	511476	FP	FP	FP	FP			
IS1G_IS1_unknown	1245138_99_444	1245138	99	444	FP	FP	FP	FP			
IS1G_IS1_unknown	1245136_1_181	1245136	1	181	FP	FP	FP	FP			
IS1G_IS1_unknown	1245136_225_444	1245136	225	444	FP	FP	FP	FP			
IS1G_IS1_unknown	1208153_0_267	1208153	0	267	FP	FP	FP	FP			
IS1G_IS1_unknown	1236016_211_325	1236016	211	325	FP	FP	FP	FP			
IS1A_IS1_unknown	1208153_0_267	1208153	0	267	FP	FP	FP	FP			
IS1A_IS1_unknown	1236016_562_1078	1236016	562	1078	FP	FP	FP	FP			
IS1A_IS1_unknown	1236016_1227_1353	1236016	1227	1353	FP	FP	FP	FP			
IS1A_IS1_unknown	1245038_99340_99433	1245038	99340	99433	FP	FP	FP	FP			
IS200C_IS200/IS605_IS200	1221552_0_495	1221552	0	495	FP	FP	FP	FP			
IS200C_IS200/IS605_IS200	1227142_12_144	1227142	12	144	FP	FP	FP	FP			
IS1F_IS1_unknown	1236482_2_266	1236482	2	266	FP	FP	FP	FP			
IS1F_IS1_unknown	1244890_8880_8946	1244890	8880	8946	FP	FP	FP	FP			
IS1F_IS1_unknown	1244890_8784_8865	1244890	8784	8865	FP	FP	FP	FP			
IS1F_IS1_unknown	1244890_8080_8602	1244890	8080	8602	FP	FP	FP	FP			
IS200C_IS200/IS605_IS200	1241860_1_493	1241860	1	493	FP	FP	FP	FP			
IS30_IS30_unknown	1242602_125_1277	1242602	125	1277	FP	FP	FP	FP			
IS30_IS30_unknown	1242602_1298_1439	1242602	1298	1439	FP	FP	FP	FP			
IS30_IS30_unknown	1242602_2_80	1242602	2	80	FP	FP	FP	FP			
IS30_IS30_unknown	1243758_1_889	1243758	1	889	FP	FP	FP	FP			
IS30_IS30_unknown	1245048_14919_15024	1245048	14919	15024	FP	FP	FP	FP			
ISEc22_IS66_unknown	1243212_180_1233	1243212	180	1233	FP	FP	FP	FP			
ISEc22_IS66_unknown	1243212_1_112	1243212	1	112	FP	FP	FP	FP			
ISKox3_ISL3_unknown	1243600_17022_17184	1243600	17022	17184	FP	FP	FP	FP			
ISKox3_ISL3_unknown	1243600_17186_17891	1243600	17186	17891	FP	FP	FP	FP			
ISKox3_ISL3_unknown	1243600_16332_16593	1243600	16332	16593	FP	FP	FP	FP			
ISKox3_ISL3_unknown	1243600_15730_16291	1243600	15730	16291	FP	FP	FP	FP			
ISKox3_ISL3_unknown	1243600_15262_15691	1243600	15262	15691	FP	FP	FP	FP			
ISKox3_ISL3_unknown	1243600_18181_18358	1243600	18181	18358	FP	FP	FP	FP			
ISKox3_ISL3_unknown	1243600_18432_18540	1243600	18432	18540	FP	FP	FP	FP			
ISKox3_ISL3_unknown	1243600_18630_18927	1243600	18630	18927	FP	FP	FP	FP			
ISSd1_IS3_IS3	1243758_1_889	1243758	1	889	FP	FP	FP	FP			
ISSd1_IS3_IS3	1245048_14094_14771	1245048	14094	14771	FP	FP	FP	FP			
ISSd1_IS3_IS3	1245048_12809_14039	1245048	12809	14039	FP	FP	FP	FP			
ISSd1_IS3_IS3	1242486_785_890	1242486	785	890	FP	FP	FP	FP			
ISEc8_IS66_unknown	1244320_0_903	1244320	0	903	FP	FP	FP	FP			
ISEc8_IS66_unknown	1244320_1031_1139	1244320	1031	1139	FP	FP	FP	FP			
ISEc8_IS66_unknown	1244320_1141_2515	1244320	1141	2515	FP	FP	FP	FP			
ISEc8_IS66_unknown	1244320_2518_2593	1244320	2518	2593	FP	FP	FP	FP			
IS1F_IS1_unknown	1244320_3072_3282	1244320	3072	3282	FP	FP	FP	FP			
IS1F_IS1_unknown	1244320_3282_3393	1244320	3282	3393	FP	FP	FP	FP			
IS1F_IS1_unknown	1244320_2878_2998	1244320	2878	2998	FP	FP	FP	FP			
IS1F_IS1_unknown	1244320_2518_2593	1244320	2518	2593	FP	FP	FP	FP			
IS1F_IS1_unknown	1244320_1141_2515	1244320	1141	2515	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_11528_11771	1244402	11528	11771	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_11797_12820	1244402	11797	12820	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_12822_13512	1244402	12822	13512	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_13521_13653	1244402	13521	13653	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_11008_11101	1244402	11008	11101	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_10300_10456	1244402	10300	10456	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_9127_10273	1244402	9127	10273	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_13709_13799	1244402	13709	13799	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_13848_14064	1244402	13848	14064	FP	FP	FP	FP			
IS100kyp_IS21_unknown	1244402_14089_14281	1244402	14089	14281	FP	FP	FP	FP			
ISEc20_IS110_unknown	1244402_15635_16832	1244402	15635	16832	FP	FP	FP	FP			
ISEc20_IS110_unknown	1244402_16914_17004	1244402	16914	17004	FP	FP	FP	FP			
ISEc20_IS110_unknown	1244402_17063_17297	1244402	17063	17297	FP	FP	FP	FP			
ISEc20_IS110_unknown	1244402_17595_17772	1244402	17595	17772	FP	FP	FP	FP			
ISEc20_IS110_unknown	1244402_18011_18212	1244402	18011	18212	FP	FP	FP	FP			
ISEc20_IS110_unknown	1244402_15233_15512	1244402	15233	15512	FP	FP	FP	FP			
ISEc20_IS110_unknown	1244402_14537_15146	1244402	14537	15146	FP	FP	FP	FP			
ISEc20_IS110_unknown	1244402_14310_14403	1244402	14310	14403	FP	FP	FP	FP			
ISEc52_IS3_IS3	1244434_0_249	1244434	0	249	FP	FP	FP	FP			
ISEc52_IS3_IS3	1244434_275_578	1244434	275	578	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244458_2_182	1244458	2	182	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244458_192_717	1244458	192	717	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244458_724_808	1244458	724	808	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244458_873_1671	1244458	873	1671	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244458_1680_2232	1244458	1680	2232	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	832167_1_112	832167	1	112	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244570_54357_55500	1244570	54357	55500	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244570_53350_54235	1244570	53350	54235	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244570_54357_55500	1244570	54357	55500	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244570_53350_54235	1244570	53350	54235	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244570_52930_53332	1244570	52930	53332	FP	FP	FP	FP			
IS609_IS200/IS605_IS605	1244570_52251_52920	1244570	52251	52920	FP	FP	FP	FP			
ISEc53_ISL3_unknown	1244638_66142_66661	1244638	66142	66661	FP	FP	FP	FP			
ISEc53_ISL3_unknown	1244638_66679_67900	1244638	66679	67900	FP	FP	FP	FP			
ISEc53_ISL3_unknown	1244638_65635_65995	1244638	65635	65995	FP	FP	FP	FP			
ISEc53_ISL3_unknown	1244638_64561_65158	1244638	64561	65158	FP	FP	FP	FP			
ISEc53_ISL3_unknown	1244638_63534_64083	1244638	63534	64083	FP	FP	FP	FP			
ISEc53_ISL3_unknown	1244638_68105_68237	1244638	68105	68237	FP	FP	FP	FP			
ISEc53_ISL3_unknown	1244638_68388_68784	1244638	68388	68784	FP	FP	FP	FP			
ISEc53_ISL3_unknown	1244638_69065_69212	1244638	69065	69212	FP	FP	FP	FP			
ISCro1_IS66_unknown	1244656_1060_1693	1244656	1060	1693	FP	FP	FP	FP			
ISCro1_IS66_unknown	1244656_1815_2199	1244656	1815	2199	FP	FP	FP	FP			
ISCro1_IS66_unknown	1244656_357_903	1244656	357	903	FP	FP	FP	FP			
ISCro1_IS66_unknown	1244656_0_300	1244656	0	300	FP	FP	FP	FP			
ISCro1_IS66_unknown	1244656_2514_3102	1244656	2514	3102	FP	FP	FP	FP			
ISCro1_IS66_unknown	1244656_3114_4146	1244656	3114	4146	FP	FP	FP	FP			
ISCro1_IS66_unknown	1244656_4152_4740	1244656	4152	4740	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_2514_3102	1244656	2514	3102	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_3114_4146	1244656	3114	4146	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_4152_4740	1244656	4152	4740	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_5087_5267	1244656	5087	5267	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_5481_6009	1244656	5481	6009	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_6227_6401	1244656	6227	6401	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_1815_2199	1244656	1815	2199	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_1060_1693	1244656	1060	1693	FP	FP	FP	FP			
IS21_IS21_unknown	1244656_357_903	1244656	357	903	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_11889_12567	1244656	11889	12567	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_12620_12914	1244656	12620	12914	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_12933_14505	1244656	12933	14505	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_14651_14843	1244656	14651	14843	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_14919_15147	1244656	14919	15147	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_15209_15278	1244656	15209	15278	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_10988_11294	1244656	10988	11294	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_9888_10686	1244656	9888	10686	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_7266_9825	1244656	7266	9825	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_15875_16637	1244656	15875	16637	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_16672_17845	1244656	16672	17845	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_17931_18486	1244656	17931	18486	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_18545_21395	1244656	18545	21395	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_21488_22049	1244656	21488	22049	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_22147_22405	1244656	22147	22405	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_15409_15805	1244656	15409	15805	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_15209_15278	1244656	15209	15278	FP	FP	FP	FP			
ISEc49_IS66_unknown	1244656_14919_15147	1244656	14919	15147	FP	FP	FP	FP			
IS682_IS66_unknown	1244674_143_1244	1244674	143	1244	FP	FP	FP	FP			
IS682_IS66_unknown	1244674_1274_1571	1244674	1274	1571	FP	FP	FP	FP			
IS682_IS66_unknown	1244674_1621_2047	1244674	1621	2047	FP	FP	FP	FP			
IS682_IS66_unknown	1244674_2074_2278	1244674	2074	2278	FP	FP	FP	FP			
IS682_IS66_unknown	1244674_2317_2515	1244674	2317	2515	FP	FP	FP	FP			
IS682_IS66_unknown	1244674_2707_3625	1244674	2707	3625	FP	FP	FP	FP			
IS682_IS66_unknown	1244674_3658_4228	1244674	3658	4228	FP	FP	FP	FP			
IS682_IS66_unknown	1235120_0_363	1235120	0	363	FP	FP	FP	FP			
IS682_IS66_unknown	1125059_2_221	1125059	2	221	FP	FP	FP	FP			
IS682_IS66_unknown	1234604_2_221	1234604	2	221	FP	FP	FP	FP			
IS2_IS3_IS2	1244674_11760_12126	1244674	11760	12126	FP	FP	FP	FP			
IS2_IS3_IS2	1244674_12149_12989	1244674	12149	12989	FP	FP	FP	FP			
IS2_IS3_IS2	1244674_10619_11609	1244674	10619	11609	FP	FP	FP	FP			
IS2_IS3_IS2	1244674_9788_10523	1244674	9788	10523	FP	FP	FP	FP			
IS2_IS3_IS2	1244674_8829_9753	1244674	8829	9753	FP	FP	FP	FP			
IS2_IS3_IS2	1244674_13199_13304	1244674	13199	13304	FP	FP	FP	FP			
IS2_IS3_IS2	1244674_13488_15579	1244674	13488	15579	FP	FP	FP	FP			
IS2_IS3_IS2	1244674_15812_16037	1244674	15812	16037	FP	FP	FP	FP			
ISEch14_IS3_IS150	1244674_18801_19005	1244674	18801	19005	FP	FP	FP	FP			
ISEch14_IS3_IS150	1244674_19014_19437	1244674	19014	19437	FP	FP	FP	FP			
ISEch14_IS3_IS150	1244674_19509_20049	1244674	19509	20049	FP	FP	FP	FP			
ISEch14_IS3_IS150	1244674_20085_20547	1244674	20085	20547	FP	FP	FP	FP			
ISEch14_IS3_IS150	1244674_18296_18719	1244674	18296	18719	FP	FP	FP	FP			
ISEch14_IS3_IS150	1244674_18059_18236	1244674	18059	18236	FP	FP	FP	FP			
ISEch14_IS3_IS150	1244674_17693_17924	1244674	17693	17924	FP	FP	FP	FP			
ISEc23_IS66_unknown	1244700_0_438	1244700	0	438	FP	FP	FP	FP			
ISEc23_IS66_unknown	1244700_468_765	1244700	468	765	FP	FP	FP	FP			
ISEc23_IS66_unknown	1244700_815_1241	1244700	815	1241	FP	FP	FP	FP			
IS1F_IS1_unknown	1244706_2_323	1244706	2	323	FP	FP	FP	FP			
IS1F_IS1_unknown	1244706_920_3302	1244706	920	3302	FP	FP	FP	FP			
IS1F_IS1_unknown	1244706_3316_4618	1244706	3316	4618	FP	FP	FP	FP			
IS1F_IS1_unknown	1244706_4879_5950	1244706	4879	5950	FP	FP	FP	FP			
ISEc12_IS21_unknown	1244742_87_834	1244742	87	834	FP	FP	FP	FP			
ISEc12_IS21_unknown	1244742_848_2369	1244742	848	2369	FP	FP	FP	FP			
ISEc12_IS21_unknown	1244912_32_491	1244912	32	491	FP	FP	FP	FP			
ISEc12_IS21_unknown	1244912_558_1119	1244912	558	1119	FP	FP	FP	FP			
ISEc12_IS21_unknown	1243278_58_1681	1243278	58	1681	FP	FP	FP	FP			
ISEc12_IS21_unknown	852799_0_138	852799	0	138	FP	FP	FP	FP			
ISEc12_IS21_unknown	1240840_118_457	1240840	118	457	FP	FP	FP	FP			
ISEc12_IS21_unknown	1240840_472_883	1240840	472	883	FP	FP	FP	FP			
ISEc12_IS21_unknown	1240840_1103_1478	1240840	1103	1478	FP	FP	FP	FP			
ISEc23_IS66_unknown	1244816_2_1133	1244816	2	1133	FP	FP	FP	FP			
ISEc23_IS66_unknown	1243458_2884_3034	1243458	2884	3034	FP	FP	FP	FP			
ISEc23_IS66_unknown	1243458_2549_2825	1243458	2549	2825	FP	FP	FP	FP			
ISEc23_IS66_unknown	1243458_1647_2478	1243458	1647	2478	FP	FP	FP	FP			
IS1203_IS3_IS51	1244936_114_915	1244936	114	915	FP	FP	FP	FP			
IS1203_IS3_IS51	1244936_967_1048	1244936	967	1048	FP	FP	FP	FP			
IS1203_IS3_IS51	1244936_1229_1379	1244936	1229	1379	FP	FP	FP	FP			
IS1203_IS3_IS51	1244936_1565_1799	1244936	1565	1799	FP	FP	FP	FP			
IS1203_IS3_IS51	1244936_1835_2009	1244936	1835	2009	FP	FP	FP	FP			
ISEc10_IS21_unknown	1244994_5948_7448	1244994	5948	7448	FP	FP	FP	FP			
ISEc10_IS21_unknown	1244994_7639_8200	1244994	7639	8200	FP	FP	FP	FP			
ISEc10_IS21_unknown	1244994_5664_5760	1244994	5664	5760	FP	FP	FP	FP			
ISEc10_IS21_unknown	1244994_5444_5600	1244994	5444	5600	FP	FP	FP	FP			
ISEc10_IS21_unknown	1244994_4203_4959	1244994	4203	4959	FP	FP	FP	FP			
ISEc10_IS21_unknown	1244994_8825_9809	1244994	8825	9809	FP	FP	FP	FP			
ISEc10_IS21_unknown	1244994_9880_11029	1244994	9880	11029	FP	FP	FP	FP			
ISEc10_IS21_unknown	1244994_11052_12729	1244994	11052	12729	FP	FP	FP	FP			
ISEc24_IS3_IS51	1245002_71590_72175	1245002	71590	72175	FP	FP	FP	FP			
ISEc24_IS3_IS51	1245002_72312_74970	1245002	72312	74970	FP	FP	FP	FP			
ISEc24_IS3_IS51	1245002_74975_75179	1245002	74975	75179	FP	FP	FP	FP			
ISEc24_IS3_IS51	1245002_75192_76362	1245002	75192	76362	FP	FP	FP	FP			
ISEc24_IS3_IS51	1245002_70998_71316	1245002	70998	71316	FP	FP	FP	FP			
ISEc24_IS3_IS51	1245002_69917_70994	1245002	69917	70994	FP	FP	FP	FP			
ISEc24_IS3_IS51	1245002_69592_69886	1245002	69592	69886	FP	FP	FP	FP			
IS4_IS4_IS4	1245002_78117_78834	1245002	78117	78834	FP	FP	FP	FP			
IS4_IS4_IS4	1245002_78968_79253	1245002	78968	79253	FP	FP	FP	FP			
IS4_IS4_IS4	1245002_79363_80539	1245002	79363	80539	FP	FP	FP	FP			
IS4_IS4_IS4	1245002_80753_81845	1245002	80753	81845	FP	FP	FP	FP			
IS4_IS4_IS4	1245002_81961_82546	1245002	81961	82546	FP	FP	FP	FP			
IS4_IS4_IS4	1245002_77958_78045	1245002	77958	78045	FP	FP	FP	FP			
IS4_IS4_IS4	1245002_77629_77800	1245002	77629	77800	FP	FP	FP	FP			
IS4_IS4_IS4	1245002_77243_77495	1245002	77243	77495	FP	FP	FP	FP			
ISCfr4_IS30_unknown	1245002_123126_124332	1245002	123126	124332	FP	FP	FP	FP			
ISCfr4_IS30_unknown	1245002_122381_122999	1245002	122381	122999	FP	FP	FP	FP			
ISCfr4_IS30_unknown	1245002_121869_121998	1245002	121869	121998	FP	FP	FP	FP			
ISCfr4_IS30_unknown	1245002_121364_121778	1245002	121364	121778	FP	FP	FP	FP			
ISCfr4_IS30_unknown	1245002_124456_127132	1245002	124456	127132	FP	FP	FP	FP			
ISCfr4_IS30_unknown	1245002_127608_128256	1245002	127608	128256	FP	FP	FP	FP			
ISCfr4_IS30_unknown	1245002_128413_128575	1245002	128413	128575	FP	FP	FP	FP			
MITEEc1_IS630_unknown	1245022_14588_15752	1245022	14588	15752	FP	FP	FP	FP			
