label	locus_id	target	is_stitched	contig	seg_start	seg_end	strand	seg_length
sorted	locus_bae1be5d	ISSd1_IS3_IS3	False	HG941718.1	3314362	3315303	1	941
sorted	locus_ee7e32d4	IS4_IS4_IS4	False	HG941718.1	1417638	1418621	-1	983
sorted	locus_b1abff70	IS1A_IS1_unknown	False	HG941718.1	3290146	3290914	-1	768
sorted	locus_22a25c84	IS1A_IS1_unknown	False	HG941718.1	3288119	3288887	1	768
sorted	locus_392f5808	IS1F_IS1_unknown	False	HG941718.1	4953115	4953883	1	768
sorted	locus_27b04594	IS1F_IS1_unknown	False	HG941718.1	4140078	4140846	-1	768
sorted	locus_83df8a16	ISEc52_IS3_IS3	False	HG941718.1	4943650	4944441	1	791
sorted	locus_371e402d	ISEc49_IS66_unknown	False	HG941718.1	4161813	4163725	-1	1912
sorted	locus_c6391471	IS200C_IS200/IS605_IS200	False	HG941718.1	2284842	2285551	-1	709
sorted	locus_5bd2cac6	IS200C_IS200/IS605_IS200	False	HG941718.1	2142423	2143132	-1	709
sorted	locus_b933d195	ISEch14_IS3_IS150	False	HG941718.1	3316099	3317706	1	1607
sorted	locus_722ae60f	ISEc43_IS66_unknown	False	HG941718.1	4159663	4160356	1	693
sorted	locus_13f3e7dd	ISKox3_ISL3_unknown	False	HG941718.1	3295103	3295881	-1	778
sorted	locus_4f1444c3	IS609_IS200/IS605_IS605	False	HG941718.1	2103782	2104446	-1	664
sorted	locus_0d67e6c7	ISEc49_IS66_unknown	False	HG941718.1	4160374	4161488	-1	1114
sorted	locus_e82c1b1d	ISCfr4_IS30_unknown	False	HG941718.1	1365630	1366324	1	694
sorted	locus_0d3dcc15	ISEc13_IS4_IS50	False	HG941718.1	4916123	4916576	1	453
sorted	locus_0666afb6	ISSen3_IS21_unknown	False	HG941718.1	1371326	1371811	-1	485
sorted	locus_aa224e20	ISEc45_IS110_IS1111	False	HG941718.1	3318218	3318561	1	343
sorted	locus_484d0cf0	ISSen1_IS3_IS3	False	HG941718.1	4976678	4977037	1	359
sorted	locus_0f61df36	ISLad1_IS3_IS3	False	HG941718.1	4922924	4923251	1	327
sorted	locus_bd0adcc3	IS682_IS66_unknown	False	HG941718.1	4924643	4924985	-1	342
sorted	locus_466a817f	ISEc83_IS66_unknown	False	HG941718.1	3320731	3320925	1	194
sorted	locus_fcb72f81	ISEcp1_IS1380_unknown	False	HG941718.1	4940135	4940287	1	152
sorted	locus_654a063f	MITEEc1_IS630_unknown	False	HG941718.1	3237314	3237436	-1	122
sorted	locus_1adf78aa	MITEEc1_IS630_unknown	False	HG941718.1	814902	815025	-1	123
sorted	locus_9ecc66db	ISKpn37_IS3_IS3	False	HG941718.1	3290039	3290146	-1	107
sorted	locus_4b630954	IS2_IS3_IS2	False	HG941718.1	2238863	2239037	1	174
sorted	locus_fb67b028	IS621_IS110_unknown	False	HG941718.1	1997445	1997536	1	91
sorted	locus_0e8f2c3b	ISSfl4_IS110_unknown	False	HG941718.1	3294446	3294511	-1	65
sorted	locus_88ae051b	ISEc23_IS66_unknown	False	HG941719.1	131258	133790	-1	2532
sorted	locus_010be58f	IS6100_IS6_unknown	False	HG941719.1	93932	94812	1	880
sorted	locus_4f42340d	IS26_IS6_unknown	False	HG941719.1	36288	37108	1	820
sorted	locus_3a672924	IS26_IS6_unknown	False	HG941719.1	86143	86963	1	820
sorted	locus_7f5fa3bb	IS26_IS6_unknown	False	HG941719.1	102449	103269	1	820
sorted	locus_f99d7182	IS26_IS6_unknown	False	HG941719.1	105455	106275	-1	820
sorted	locus_7fb739c1	IS26_IS6_unknown	False	HG941719.1	98044	98864	-1	820
sorted	locus_7d91b808	IS15DI_IS6_unknown	False	HG941719.1	43434	44254	-1	820
sorted	locus_2e461c83	IS26_IS6_unknown	False	HG941719.1	113686	114506	-1	820
sorted	locus_3107c13f	IS26_IS6_unknown	False	HG941719.1	75316	76136	1	820
sorted	locus_20b10fa2	IS1A_IS1_unknown	False	HG941719.1	120367	121135	1	768
sorted	locus_97b837d5	IS1R_IS1_unknown	False	HG941719.1	66901	67669	1	768
sorted	locus_1451a8be	ISErsp1_IS481_unknown	False	HG941719.1	117945	118131	-1	186
